n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,noise_ratio,sil_norm,ch_norm,db_norm,db_inv_norm,combined_score
5,2,0.5,20,5,0.36033734679222107,1247.743896484375,0.7343082147958926,23,0.348,0.49384887432598873,0.15467164001375122,0.36206354027206167,0.6379364597279383,0.42881899135589274
5,2,0.5,20,10,0.41075390577316284,1465.0975341796875,0.6449302666993125,12,0.4105,0.5948346608233328,0.18794640951654584,0.24983200964758204,0.750167990352418,0.5109830202307655
5,2,0.5,20,20,0.2756060063838959,773.6461791992188,0.7522542010859816,7,0.412,0.32412961491870823,0.0820917999349814,0.38459824321384567,0.6154017567861543,0.34054105721328126
5,2,0.5,40,5,0.3411868214607239,1054.1851806640625,0.7506968047246092,4,0.1665,0.4554898331393498,0.12503964616966237,0.38264262685490946,0.6173573731450905,0.3992956174847009
5,2,0.5,40,10,0.5022367835044861,1766.1719970703125,0.6152689607636992,8,0.475,0.7780774394951245,0.23403803909353402,0.21258642685709697,0.7874135731429031,0.5998430172438538
5,2,0.5,40,20,0.31520381569862366,973.9208984375,0.7519324244204301,6,0.3835,0.40344514136570864,0.11275194986646071,0.38419418954665846,0.6158058104533415,0.3773343005618369
5,5,0.0,10,5,0.5519948601722717,3943.25537109375,0.6127323298986902,55,0.1915,0.8777442673877411,0.5673287455529574,0.20940118966300045,0.7905988103369995,0.745223941092566
5,5,0.0,10,10,0.6067163348197937,4562.16650390625,0.5206251406019299,41,0.2965,0.9873529211172316,0.6620781387787492,0.09374256181976799,0.906257438180232,0.8518961660254042
5,5,0.0,10,20,0.5072735548019409,2317.76025390625,0.5953362968206728,13,0.1185,0.7881662341523125,0.31848094191898746,0.18755706076187303,0.8124429392381269,0.6396967051031422
5,5,0.0,20,5,0.5297596454620361,3988.433837890625,0.6840316420005865,33,0.179,0.8332065065639755,0.5742451380508967,0.2989314496441478,0.7010685503558522,0.7028400649902414
5,5,0.0,20,10,0.5107265710830688,1453.5203857421875,0.5928344616150961,20,0.149,0.795082722940642,0.18617405847682014,0.18441551633764133,0.8155844836623587,0.5989470883599403
5,5,0.0,20,20,0.4932228624820709,2466.71630859375,0.6147269572807711,12,0.1155,0.7600223020110761,0.34128469362210023,0.21190583525941242,0.7880941647405876,0.6298003867912546
5,5,0.0,40,5,0.4218580424785614,1337.78955078125,0.7395343382691087,11,0.0785,0.6170765591447275,0.16845677111727111,0.3686259625375379,0.6313740374624621,0.47230245590815356
5,5,0.0,40,10,0.41803333163261414,1917.09716796875,0.6476235618571621,7,0.031,0.609415555682573,0.2571432437133677,0.2532139695652826,0.7467860304347174,0.5377816099435526
5,5,0.0,40,20,0.5060106515884399,3176.084716796875,0.6191486017243216,8,0.0495,0.7856366034741531,0.4498822332161309,0.21745807643685214,0.7825419235631479,0.6726869200844773
5,5,0.1,10,5,0.4816669225692749,1831.3070068359375,0.6726490045280424,41,0.2675,0.7368754291502985,0.24400958803789377,0.2846383174645329,0.7153616825354672,0.565415566574553
5,5,0.1,10,10,0.5168578028678894,2038.672607421875,0.6194004374803069,35,0.333,0.8073637527551057,0.2757552842934042,0.21777430558466904,0.782225694415331,0.6217815771546136
5,5,0.1,10,20,0.4617649018764496,1958.5440673828125,0.6673730216134853,9,0.153,0.6970111216058045,0.2634883688248311,0.2780132868987215,0.7219867131012785,0.560828734510638
5,5,0.1,20,5,0.41931968927383423,1174.595703125,0.762311005116884,20,0.178,0.6119921662395249,0.14347334906547166,0.39722653166324,0.60277346833676,0.4527463278805855
5,5,0.1,20,10,0.4226120114326477,1355.8267822265625,0.6933430961857556,15,0.2065,0.6185867801784907,0.17121809926974801,0.31062380528440037,0.6893761947155996,0.4930603580546128
5,5,0.1,20,20,0.47004517912864685,2235.369140625,0.732047624371233,8,0.1365,0.7135967499713838,0.3058676480602698,0.3592249259507704,0.6407750740492296,0.5534131573602944
5,5,0.1,40,5,0.33964964747428894,1329.661865234375,0.8364612855143785,7,0.107,0.45241083038428137,0.16721249995608367,0.4903367410881931,0.5096632589118069,0.37642886308405726
5,5,0.1,40,10,0.4724361002445221,1828.630615234375,0.7309823874546655,10,0.248,0.7183858322534776,0.24359985800261344,0.35788731223094217,0.6421126877690578,0.5346994593417163
5,5,0.1,40,20,0.4579809010028839,2253.02978515625,0.7547510687190121,7,0.1245,0.6894316613640193,0.3085713243468931,0.387733549877173,0.612266450122827,0.5367564786112464
5,5,0.5,10,5,0.37660229206085205,489.2854919433594,0.7741032057044414,28,0.42,0.5264280174386684,0.03855889004479167,0.4120339506022198,0.5879660493977802,0.3843176522937467
5,5,0.5,10,10,0.3312624394893646,437.9349365234375,0.7753008451773664,16,0.4155,0.4356110167517294,0.030697609628433445,0.413537821680547,0.586462178319453,0.35092360156653857
5,5,0.5,10,20,0.4344880282878876,498.55145263671875,0.7257905168255357,11,0.555,0.6423747761628155,0.03997742027765438,0.35136790112428007,0.6486320988757199,0.44366143177206324
5,5,0.5,20,5,0.3785151541233063,645.2201538085938,0.8841115940308415,17,0.398,0.5302595339828834,0.06243099996703472,0.5501710422040849,0.44982895779591514,0.34750649724861105
5,5,0.5,20,10,0.32264384627342224,615.7669677734375,0.9628106942147604,9,0.372,0.41834773198964115,0.05792199801595355,0.6489931863739896,0.3510068136260104,0.2757588478772017
5,5,0.5,20,20,0.4169518053531647,741.3128051757812,0.7929795985562937,8,0.486,0.607249228107757,0.07714186866497565,0.43573696132856965,0.5642630386714304,0.4162180451480543
5,5,0.5,40,5,0.3312162160873413,541.6116333007812,1.000726006635483,10,0.303,0.435518429976625,0.04656952336614238,0.6966032919727985,0.30339670802720153,0.2618282204566563
